character,dialog
OPPENHEIMER,That seems a little reductive-
KITTY,"Pragmatic. Steve and his wife brought me home with them to Chicago, then set me up with husband number three. Now here I am..."
KITTY,Wherever the hell this is-
OPPENHEIMER,I didn’t want you to hear it from someone else.
TATLOCK,You didn’t bring flowers. That’s something.
OPPENHEIMER,"Jean, we both know I’m not what you want."
TATLOCK,Yeah. But it’s a door closing.
OPPENHEIMER,Not as far as I’m concerned.
TATLOCK,You knocked her up. Fast work.
OPPENHEIMER,Can’t keep a good man down.
TATLOCK,I meant her. She knew what she wanted. What about the husband?
OPPENHEIMER,We spoke. He’s divorcing her so we can get married before she’s showing.
TATLOCK,"How civilized, you idiot. This is your community- you think rules don’t apply to the golden boy?"
OPPENHEIMER,Brilliance makes up for a lot.
TATLOCK,Don’t alienate the only people in the world who understand what you do. One day you might need them.
LAWRENCE,Lomanitz? What do you make a month?
LOMANITZ,A hundred and fifty dollars.
LAWRENCE,How are the working conditions?
OPPENHEIMER,"That’s not the point, Lawrence."
LAWRENCE,What do you have in common with dock workers and farm labourers?
LOMANITZ,Plenty-
LAWRENCE,Right. Everybody out. Now! Not you.
LAWRENCE,What’re you doing?!
OPPENHEIMER,It’s a trade union-
LAWRENCE,Full of Communists!
OPPENHEIMER,So? I haven’t joined the Party-
LAWRENCE,They won’t let me bring you onto the project because of this shit! They won’t even let me tell you what the project is-
OPPENHEIMER,"I know what the fucking project is, Lawrence! We all heard about Einstein and Szilard’s letter to Roosevelt. Warning him the Germans could make a bomb. And I know what it means for the Nazis to have a bomb."
LAWRENCE,I don’t?
OPPENHEIMER,It’s not your people they’re herding into camps! It’s mine!
LAWRENCE,"You think I tell them about your politics? Next time you’re coming home from a meeting, take a look in the rear-view mirror."
OPPENHEIMER,Why would they care what I do?
LAWRENCE,"Because you’re not just self- important, you’re actually important."
OPPENHEIMER,I get it. You don’t have to worry. I get it.
LAWRENCE,You just need to be more-
OPPENHEIMER,"Pragmatic. It’s done, Lawrence. I’ll talk to Lomanitz and the others. You don’t have to worry."
LAWRENCE,Then welcome to the war.
OPPENHEIMER,I filled out my first security questionnaire...
OPPENHEIMER,...and was informed that my involvement in left-wing groups would not prove a bar to my work on the atomic programme.
SENATOR PASTORE,Why were his Communist associations not seen as a security risk during the war?
STRAUSS,"Senator, I can’t possibly answer for a security clearance granted years before I even met the man."
SENATOR PASTORE,Fine. What about after?
STRAUSS,"After the war, Dr Oppenheimer was the most respected scientific voice in the world. That’s why I asked him to run the Institute, that’s why he advised the Atomic Energy Commission. Simple as that."
STRAUSS,What are they accusing me of?
SENATE AIDE,I think they just want to know what happened between 1947 and 1954 to change your mind on Oppenheimer’s security clearance.
STRAUSS,"I didn’t. I was the AEC Chairman, but it wasn’t me who brought the charges against Robert."
SENATE AIDE,Who did?
STRAUSS,Some former staff member of the Joint Congressional Committee-
STRAUSS,A rabid anti-Communist named Borden. He wrote to the FBI demanding they take action.
SENATE AIDE,The FBI? Why not come to the AEC direct?
STRAUSS,Why get caught holding the knife yourself?
SENATE AIDE,What did Borden have against Oppenheimer?
STRAUSS,"This was the McCarthy era- people hounded out of jobs for any hint of red... reading Oppenheimer’s security file- his Communist brother, sister-in-law, fiancée, best friend, wife... that’s before you even get to the Chevalier incident."
SENATE AIDE,But how would Borden have access to Oppenheimer’s security file?
STRAUSS,Someone gave it to him. Someone who wanted Oppenheimer silenced.
SENATE AIDE,Who?
STRAUSS,Who knows? Robert didn’t take care not to upset the power brokers in Washington. His opinions on the atom became definitive and he wasn’t always patient with us mere mortals. I came in for plenty of harsh treatment. There was an AEC vote on the export of isotopes to Norway...
STRAUSS,They drafted in Robert to make me look like a fool...
CONGRESSMAN,"But, Dr Oppenheimer, one member of the AEC board thinks these isotopes could be useful to our enemies in the production of atomic weapons."
OPPENHEIMER,"Congressman, you could use a shovel in making atomic weapons, in fact, you do. You could use a bottle of beer in making atomic weapons. In fact, you do."
OPPENHEIMER,"Isotopes aren’t as useful as electronic components, but more useful than a sandwich. I’d put them somewhere in between."
STRAUSS,Genius is no guarantee of wisdom. How could this man who saw so much be so blind?
OPPENHEIMER,Kitty?
OPPENHEIMER,"Kitty, the project- I’m in."
KITTY,Let’s celebrate.
OPPENHEIMER,Don’t you need to go to him?
KITTY,I’ve been going to him all fucking day...
OPPENHEIMER,I’m ashamed to ask.
CHEVALIER,Anything.
OPPENHEIMER,Take Peter.
CHEVALIER,Sure.
OPPENHEIMER,"No, for a while, Hoke. A while."
CHEVALIER,Does Kitty know you’re here?
OPPENHEIMER,"Of course she fucking knows! We’re awful. Selfish, awful people... Forget I asked-"
CHEVALIER,"Robert, you see beyond the world we live in. There’s a price to be paid for that. Of course we’ll help."
KITTY,"Everything’s changing, Robert."
OPPENHEIMER,Having a child was always-
KITTY,The world is pivoting in some new direction... reforming... this is your moment.
OPPENHEIMER,We’re putting together a group to study feasibility-
KITTY,"'We' shouldn’t be doing anything. You should. Lawrence won’t get this done. Or Tolman, or Rabi. You will."
OPPENHEIMER,Who’s the uniform?
LAWRENCE,I thought you might know.
GROVES,"Dr Oppenheimer. I’m Colonel Groves, this is Lieutenant Colonel Nichols."
GROVES,Get that dry-cleaned.
OPPENHEIMER,"If that’s how you treat a lieutenant colonel, I’d hate to see how you treat a humble physicist."
GROVES,If I ever meet one I’ll let you know.
OPPENHEIMER,Ouch.
GROVES,Theatres of combat all over the world- but I have to stay in Washington.
OPPENHEIMER,Why?
GROVES,I built the Pentagon. The brass likes it so much they made me take over the Manhattan Engineer District.
OPPENHEIMER,Which is?
GROVES,Don’t be a smart-ass. You know damn well what it is- you and half of every physics department across America. That’s problem number one.
OPPENHEIMER,I thought problem number one would be securing enough uranium ore.
GROVES,Twelve hundred tons. Bought the day I took charge.
OPPENHEIMER,Processing?
GROVES,"Just broke ground at Oak Ridge, Tennessee. Now I’m looking for a project director."
OPPENHEIMER,And my name came up.
GROVES,Nope. Even though you brought quantum physics to America. That made me curious.
OPPENHEIMER,What have you found out?
GROVES,"You’re a dilettante, womanizer, suspected Communist-"
OPPENHEIMER,I’m a New Deal Democrat-
GROVES,"I said 'suspected'. Unstable, theatrical, egotistical, neurotic."
OPPENHEIMER,"Nothing good? Not even 'he’s brilliant, but'...?"
GROVES,"Brilliance is taken for granted in your circles. So, no. Only one person said anything good- Richard Tolman. He thinks you’ve got integrity. But Tolman strikes me as someone who knows science better than people."
OPPENHEIMER,Yet here you are. You don’t take much on trust.
GROVES,I don’t take anything on trust. Why don’t you have a Nobel Prize?
OPPENHEIMER,Why aren’t you a general?
GROVES,They’re making me one for this.
OPPENHEIMER,Maybe I’ll have the same luck.
GROVES,A Nobel Prize for making a bomb?
OPPENHEIMER,Alfred Nobel invented dynamite.
