character,dialog
GARNIK,He ran away.
TOROS,Ran away?
GARNIK,Yes! Ran away!
TOROS,On foot?
GARNIK,"Yes, he ran away man."
ANI,They scared him!
TOROS,Oh my god.
GARNIK,I was trying to stop Ivan from leaving and...
TOROS,Trying? You just stop him from leaving. There’s no trying. What are you talking about?
GARNIK,I can’t touch the fucking guy. What are you talking about?
IGOR,What? What did he say?
TOROS,Why did you let him leave?
IGOR,He told me not to touch the guy. And I was dealing with her.
TOROS,He’s not answering. Let me think. Let me think.
TOROS,Is this her?
ANI,If you mean Ivan’s wife? Yes! Tell him to let me go.
TOROS,Where’s Ivan!
ANI,"You tell me! Please, I’m not going to run. Tell him to let me go."
GARNIK,"No, don’t let her go."
ANI,Tell him!
TOROS,Let her go!
GARNIK,"No, don’t. She’s an animal."
TOROS,She’s a girl. What are you talking about?
GARNIK,She doesn’t fight like one.
TOROS,Let her go!
ANI,Fuck! Now fucking untie me!
TOROS,Why is she tied? What is happening!
ANI,That’s what I want to know! What the fuck is happening!
TOROS,Where’s Ivan.
ANI,"I told you, I don’t know. Please untie me."
TOROS,Call him!
ANI,Untie me!
TOROS,Why is she tied up.
GARNIK,Look!
TOROS,"What, the two of you get beat up by a little girl?"
ANI,"Untie me now, motherfucker. This is so fucking illegal!"
GARNIK,Don’t do that!
ANI,You fuck! Untie me now!
TOROS,And c’mon. This is overkill. Untie her. Ridiculous.
IGOR,I don't suggest that. Get what you need first. She’s not co-operative.
ANI,Shut the fuck up.
GARNIK,I’m leaving if you untie her!
TOROS,I need you to call Ivan.
ANI,Untie me and I’ll call him.
TOROS,Where’s your phone.
ANI,Untie me.
GARNIK,Don’t do it.
TOROS,Call him and get him back here and then you’ll be untied.
ANI,Fuck you!
TOROS,Where’s your phone!
IGOR,It’s in the other room.
ANI,Fuck!
TOROS,Get it.
TOROS,We have until noon tomorrow morning to find this little prick and get you two split.
ANI,"Look. Your guy fucking attacked me. Both of them did. They forced their way in, fought with Ivan and then physically attacked me. What is going on?"
TOROS,I’m sorry it went down that way but it looks like they're the ones who were physically attacked. Now let’s call Ivan and tell him to get back here.
ANI,It’s under HUSBAND.
TOROS,"Great husband you have here. Ditches you and now doesn't answer your calls. Yeah, this marriage is real, my ass."
ANI,"Look, I don’t know what kind of family drama is going on here but Ivan and I are married. It’s a real marriage and I’m not getting divorced."
TOROS,The marriage isn’t real and we are getting it annulled and you have no say in it. So let bygones be bygones and let’s go find Ivan and get this fixed.
ANI,I’m his wife. I think I have a say in it.
TOROS,Look. You two got married illegally. It’s a fraud marriage and we are getting it annulled right now.
ANI,We are two consenting adults who are legally married and there’s nothing you can do about it.
TOROS,This is just Ivan playing around! Get over it!
ANI,"No it's not, you have no idea."
TOROS,"Oh yeah, how long have you known Ivan? When did you meet?"
TOROS,You don’t know this guy.
ANI,I know my husband.
TOROS,"No you don’t. He took you for a ride, lady. This is classic Ivan. Little bastard. I've been dealing with his shit since he was six- years-old. Now his parents are going to kill me and my fucking family will never speak to me again. This little prick!"
ANI,I love my husband and I plan on being with him forever.
TOROS,You are not in love and neither is he.
ANI,I can’t wait to have Ivan’s children. I’m probably already pregnant.
TOROS,I hope you’re not because we’ll be taking care of that as well if you are.
ANI,The fuck you will.
TOROS,Hey! Ivan doesn’t love you. He just hates his parents. Now let’s go find Ivan and get this taken care of.
ANI,Ivan won’t divorce me.
TOROS,"Ha! He shamed his family, marrying somebody like you. And if you think for a minute this will be allowed to continue, you’re dead wrong."
ANI,I’m staying married.
TOROS,We’re getting this annulled now.
ANI,The fuck we are. And I would like you to leave my home now. Or I’ll be pressing charges.
TOROS,This isn't Ivan’s house. This is his father’s. You’re technically trespassing.
ANI,I’m married to Ivan and this is our home!
TOROS,"You married Ivan, not his father. Everything in here is Ivan’s father’s. The money belongs to his father. Ivan has nothing. The bedroom you two have been fucking in... that’s his parent’s room. His is down the hall... the one with the spaceships on the wall... cause he’s a fucking child!"
TOROS,"Look, the son of Nikolai Zakharov is not marrying a whore."
TOROS,Rich marry rich. That's the way it works. Not this. You help fix this or you’re going to be arrested.
ANI,Me arrested!? You should be fucking arrested!
TOROS,What did I say?
ANI,Arrest me for what?!
TOROS,"Fraud, trespassing, extortion, theft."
ANI,What?!?! Theft?
TOROS,"Yes, you married Ivan to steal from his family."
ANI,I’m sorry... what?
TOROS,You heard me. I think it’s pretty clear that Ivan was taken advantage of by a... scheming... prostitute... because of his family’s wealth.
